date,open,high,low,close,volume
2012-01-31,1313.530029296875,1321.4100341796875,1306.68994140625,1312.4100341796875,4235550000.0
2012-02-29,1372.199951171875,1378.0400390625,1363.81005859375,1365.6800537109375,4482370000.0
2012-03-31,1403.31005859375,1410.8900146484375,1401.4200439453125,1408.469970703125,3676890000.0
2012-04-30,1403.260009765625,1403.260009765625,1394.0,1397.9100341796875,3574010000.0
2012-05-31,1313.0899658203125,1319.739990234375,1298.9000244140625,1310.3299560546875,4557620000.0
2012-06-30,1330.1199951171875,1362.1700439453125,1330.1199951171875,1362.1600341796875,4590480000.0
2012-07-31,1385.27001953125,1387.1600341796875,1379.1700439453125,1379.3199462890625,3821570000.0
2012-08-31,1400.0699462890625,1413.0899658203125,1398.9599609375,1406.5799560546875,2938250000.0
2012-09-30,1447.1300048828125,1447.1300048828125,1435.5999755859375,1440.6700439453125,3509230000.0
2012-10-31,1410.989990234375,1418.760009765625,1405.949951171875,1412.1600341796875,3577110000.0
2012-11-30,1415.949951171875,1418.8599853515625,1411.6300048828125,1416.1800537109375,3966000000.0
2012-12-31,1402.4300537109375,1426.739990234375,1398.1099853515625,1426.18994140625,3204330000.0
2013-01-31,1501.9599609375,1504.18994140625,1496.760009765625,1498.1099853515625,3999880000.0
2013-02-28,1515.989990234375,1525.3399658203125,1514.4599609375,1514.6800537109375,3912320000.0
2013-03-31,1562.8599853515625,1570.280029296875,1561.0799560546875,1569.18994140625,3304440000.0
2013-04-30,1593.5799560546875,1597.5699462890625,1586.5,1597.5699462890625,3745070000.0
2013-05-31,1652.1300048828125,1658.989990234375,1630.739990234375,1630.739990234375,4099600000.0
2013-06-30,1611.1199951171875,1615.93994140625,1601.06005859375,1606.280029296875,4977190000.0
2013-07-31,1687.760009765625,1698.4300537109375,1684.93994140625,1685.72998046875,3847390000.0
2013-08-31,1638.8900146484375,1640.0799560546875,1628.050048828125,1632.969970703125,2734300000.0
2013-09-30,1687.260009765625,1687.260009765625,1674.989990234375,1681.550048828125,3308630000.0
2013-10-31,1763.239990234375,1768.530029296875,1755.719970703125,1756.5400390625,3826530000.0
2013-11-30,1808.68994140625,1813.550048828125,1803.97998046875,1805.81005859375,1598300000.0
2013-12-31,1842.6099853515625,1849.43994140625,1842.4100341796875,1848.3599853515625,2312840000.0
2014-01-31,1790.8800048828125,1793.8800048828125,1772.260009765625,1782.5899658203125,4059690000.0
2014-02-28,1855.1199951171875,1867.9200439453125,1847.6700439453125,1859.449951171875,3917450000.0
2014-03-31,1859.1600341796875,1875.1800537109375,1859.1600341796875,1872.3399658203125,3274300000.0
2014-04-30,1877.0999755859375,1885.199951171875,1872.68994140625,1883.949951171875,3779230000.0
2014-05-31,1920.3299560546875,1924.030029296875,1916.6400146484375,1923.5699462890625,3263490000.0
2014-06-30,1960.7900390625,1964.239990234375,1958.219970703125,1960.22998046875,3037350000.0
2014-07-31,1965.1400146484375,1965.1400146484375,1930.6700439453125,1930.6700439453125,4193000000.0
2014-08-31,1998.449951171875,2003.3800048828125,1994.6500244140625,2003.3699951171875,2259130000.0
2014-09-30,1978.2099609375,1985.1700439453125,1968.9599609375,1972.2900390625,3951100000.0
2014-10-31,2001.199951171875,2018.18994140625,2001.199951171875,2018.050048828125,4292290000.0
2014-11-30,2074.780029296875,2075.760009765625,2065.06005859375,2067.56005859375,2504640000.0
2014-12-31,2082.110107421875,2085.580078125,2057.93994140625,2058.89990234375,2606070000.0
2015-01-31,2019.3499755859375,2023.3199462890625,1993.3800048828125,1994.989990234375,4568650000.0
2015-02-28,2110.8798828125,2112.739990234375,2103.75,2104.5,3547380000.0
2015-03-31,2084.050048828125,2084.050048828125,2067.0400390625,2067.889892578125,3376550000.0
2015-04-30,2105.52001953125,2105.52001953125,2077.590087890625,2085.510009765625,4509680000.0
2015-05-31,2120.659912109375,2120.659912109375,2104.889892578125,2107.389892578125,3927390000.0
2015-06-30,2061.18994140625,2074.280029296875,2056.320068359375,2063.110107421875,4078540000.0
2015-07-31,2111.60009765625,2114.239990234375,2102.070068359375,2103.840087890625,3681340000.0
2015-08-31,1986.72998046875,1986.72998046875,1965.97998046875,1972.1800537109375,3915100000.0
2015-09-30,1887.1400146484375,1920.530029296875,1887.1400146484375,1920.030029296875,4525070000.0
2015-10-31,2090.0,2094.320068359375,2079.340087890625,2079.360107421875,4256200000.0
2015-11-30,2090.949951171875,2093.81005859375,2080.409912109375,2080.409912109375,4275030000.0
2015-12-31,2060.590087890625,2062.5400390625,2043.6199951171875,2043.93994140625,2655330000.0
2016-01-31,1894.0,1940.239990234375,1894.0,1940.239990234375,5497570000.0
2016-02-29,1947.1300048828125,1958.27001953125,1931.81005859375,1932.22998046875,4588180000.0
2016-03-31,2063.77001953125,2067.919921875,2057.4599609375,2059.739990234375,3715280000.0
2016-04-30,2071.820068359375,2073.85009765625,2052.280029296875,2065.300048828125,4704720000.0
2016-05-31,2100.1298828125,2103.47998046875,2088.659912109375,2096.949951171875,4514410000.0
2016-06-30,2073.169921875,2098.93994140625,2070.0,2098.860107421875,4622820000.0
2016-07-31,2168.830078125,2177.090087890625,2163.489990234375,2173.60009765625,4038840000.0
2016-08-31,2173.56005859375,2173.7900390625,2161.35009765625,2170.949951171875,3766390000.0
2016-09-30,2156.510009765625,2175.300048828125,2156.510009765625,2168.27001953125,4158800000.0
2016-10-31,2129.780029296875,2133.25,2125.530029296875,2126.14990234375,3926560000.0
2016-11-30,2204.969970703125,2214.10009765625,2198.81005859375,2198.81005859375,5538400000.0
2016-12-31,2251.610107421875,2253.580078125,2233.6201171875,2238.830078125,2671550000.0
2017-01-31,2274.02001953125,2279.090087890625,2267.2099609375,2278.8701171875,4089730000.0
2017-02-28,2366.080078125,2367.7900390625,2358.9599609375,2363.639892578125,4212460000.0
2017-03-31,2364.820068359375,2370.35009765625,2362.60009765625,2362.719970703125,3356740000.0
2017-04-30,2393.679931640625,2393.679931640625,2382.360107421875,2384.199951171875,3721350000.0
2017-05-31,2415.6298828125,2415.989990234375,2403.590087890625,2411.800048828125,4518040000.0
2017-06-30,2429.199951171875,2432.7099609375,2421.64990234375,2423.409912109375,3366030000.0
2017-07-31,2475.93994140625,2477.9599609375,2468.530029296875,2470.300048828125,3475930000.0
2017-08-31,2462.64990234375,2475.010009765625,2462.64990234375,2471.64990234375,3353860000.0
2017-09-30,2509.9599609375,2519.43994140625,2507.989990234375,2519.360107421875,3220260000.0
2017-10-31,2575.989990234375,2578.2900390625,2572.14990234375,2575.260009765625,3844420000.0
2017-11-30,2633.929931640625,2657.739990234375,2633.929931640625,2647.580078125,4965700000.0
2017-12-31,2689.14990234375,2692.1201171875,2673.610107421875,2673.610107421875,2447760000.0
2018-01-31,2832.409912109375,2839.260009765625,2813.0400390625,2823.81005859375,4276270000.0
2018-02-28,2753.780029296875,2761.52001953125,2713.5400390625,2713.830078125,4244570000.0
2018-03-31,2614.409912109375,2659.070068359375,2609.719970703125,2640.8701171875,3572360000.0
2018-04-30,2682.510009765625,2682.8701171875,2648.0400390625,2648.050048828125,3749510000.0
2018-05-31,2720.97998046875,2722.5,2700.679931640625,2705.27001953125,4241100000.0
2018-06-30,2727.1298828125,2743.260009765625,2718.030029296875,2718.3701171875,3586800000.0
2018-07-31,2809.72998046875,2824.4599609375,2808.06005859375,2816.2900390625,3906890000.0
2018-08-31,2898.3701171875,2906.320068359375,2891.72998046875,2901.52001953125,2887220000.0
2018-09-30,2910.030029296875,2920.530029296875,2907.5,2913.97998046875,3461680000.0
2018-10-31,2705.60009765625,2736.68994140625,2705.60009765625,2711.739990234375,5133380000.0
2018-11-30,2737.760009765625,2760.8798828125,2732.760009765625,2760.169921875,4668310000.0
2018-12-31,2498.93994140625,2509.239990234375,2482.820068359375,2506.85009765625,3461920000.0
2019-01-31,2685.489990234375,2708.949951171875,2678.64990234375,2704.10009765625,4953800000.0
2019-02-28,2788.110107421875,2793.72998046875,2782.510009765625,2784.489990234375,4445780000.0
2019-03-31,2828.27001953125,2836.030029296875,2819.22998046875,2834.39990234375,3752520000.0
2019-04-30,2937.139892578125,2948.219970703125,2924.110107421875,2945.830078125,3939760000.0
2019-05-31,2766.14990234375,2768.97998046875,2750.52001953125,2752.06005859375,3982670000.0
2019-06-30,2932.93994140625,2943.97998046875,2929.050048828125,2941.760009765625,5422650000.0
2019-07-31,3016.219970703125,3017.39990234375,2958.080078125,2980.3798828125,4626330000.0
2019-08-31,2937.090087890625,2940.429931640625,2913.320068359375,2926.4599609375,3009910000.0
2019-09-30,2967.070068359375,2983.85009765625,2967.070068359375,2976.739990234375,3249130000.0
2019-10-31,3046.89990234375,3046.89990234375,3023.18994140625,3037.56005859375,4149310000.0
2019-11-30,3147.179931640625,3150.300048828125,3139.340087890625,3140.97998046875,1743420000.0
2019-12-31,3215.179931640625,3231.719970703125,3212.030029296875,3230.780029296875,2894760000.0
2020-01-31,3282.330078125,3282.330078125,3214.679931640625,3225.52001953125,4529700000.0
2020-02-29,2916.89990234375,2959.719970703125,2855.840087890625,2954.219970703125,8569570000.0
2020-03-31,2614.68994140625,2641.389892578125,2571.14990234375,2584.590087890625,6576210000.0
2020-04-30,2930.909912109375,2930.909912109375,2892.469970703125,2912.429931640625,6544980000.0
2020-05-31,3025.169921875,3049.169921875,2998.610107421875,3044.31005859375,7297550000.0
2020-06-30,3050.199951171875,3111.510009765625,3047.830078125,3100.2900390625,4705850000.0
2020-07-31,3270.449951171875,3272.169921875,3220.260009765625,3271.1201171875,5007530000.0
2020-08-31,3509.72998046875,3514.77001953125,3493.25,3500.31005859375,4348280000.0
